Index,uv,dv,ubar,dbar,u,d
44,2.110308847470297e-05,0.00015687744684051731,1.8054273434128825e-09,1.5308743212791158e-09,2.1104893902046385e-05,0.00015687897771483859
45,2.4184642747216068e-05,0.0001722983142996184,2.4085655080093486e-09,2.0411816261979857e-09,2.4187051312724076e-05,0.0001723003554812446
46,2.429975712468972e-05,0.00017285964362020805,2.432941911490814e-09,2.0617998976939946e-09,2.4302190066601213e-05,0.00017286170542010575
47,2.504919424724218e-05,0.0001764889544666162,2.594954528835524e-09,2.1988238695003363e-09,2.5051789201771013e-05,0.00017649115329048572
48,2.5409277725478195e-05,0.00017821736690851113,2.6748525511033126e-09,2.2663917130058697e-09,2.54119525780293e-05,0.00017821963330022413
49,2.6331351072140715e-05,0.00018259854120480739,2.8855936646583755e-09,2.4445901390290926e-09,2.6334236665805374e-05,0.00018260098579494643
50,2.7805069847508794e-05,0.00018947242707860007,3.2409507828728887e-09,2.7450107836111723e-09,2.7808310798291666e-05,0.0001894751720893837
51,2.9128577280705477e-05,0.00019552551411329146,3.5795875727800446e-09,3.03122776975652e-09,2.9132156868278256e-05,0.00019552854534106122
52,3.3196935832728116e-05,0.0002134520815475846,4.739500221328339e-09,4.0111676712043755e-09,3.3201675332949443e-05,0.0002134560927152558
53,3.457336657686621e-05,0.00021929394791504343,5.173787095923205e-09,4.377928312431627e-09,3.457854036396213e-05,0.00021929832584335586
54,3.720741998870576e-05,0.0002302038097503364,6.0649143605814135e-09,5.130284166720561e-09,3.721348490306634e-05,0.00023020894003450312
55,4.5181981335723525e-05,0.0002611929079150742,9.265709122464513e-09,7.83082675974978e-09,4.519124704484599e-05,0.000261200738741834
56,4.685369476674882e-05,0.0002673426508415931,1.003613191343492e-08,8.480499809091474e-09,4.6863730898662254e-05,0.00026735113134140215
57,5.030340973244699e-05,0.000279681849315671,1.17392283420274e-08,9.916298072944987e-09,5.031514896078902e-05,0.00027969176561374394
58,5.031063366869862e-05,0.00027970719654877966,1.174295757452813e-08,9.91944150761504e-09,5.032237662627315e-05,0.00027971711599028727
59,5.100686109551632e-05,0.00028214054000826657,1.2105610211840939e-08,1.022511810400732e-08,5.101896670572816e-05,0.0002821507651263706
60,5.162426628609979e-05,0.0002842825941814336,1.2432589785452728e-08,1.0500710363252105e-08,5.163669887588524e-05,0.00028429309489179686
61,5.3252243957659146e-05,0.000289861127246843,1.3319247035616908e-08,1.1247950539542633e-08,5.326556320469476e-05,0.00028987237519738254
62,5.64396511546093e-05,0.00030052541989298654,1.5158882673660694e-08,1.279798973850478e-08,5.6454810037282956e-05,0.00030053821788272503
63,5.681077804536004e-05,0.0003017455206225379,1.5382106427054076e-08,1.2986045259187573e-08,5.682616015178709e-05,0.0003017585066677971
64,5.838654746090053e-05,0.00030687612911316957,1.6351119556723826e-08,1.3802329066919377e-08,5.8402898580457256e-05,0.0003068899314422365
65,5.9700656563075217e-05,0.00031109341930316963,1.718570513949889e-08,1.4505294327414103e-08,5.971784226821472e-05,0.00031110792459749706
66,6.636632775540603e-05,0.0003316418949424863,2.1798285781325295e-08,1.8389344891628435e-08,6.638812604118736e-05,0.00033166028428737793
67,6.702495469303089e-05,0.0003336002774556276,2.228921261395764e-08,1.880263492042654e-08,6.704724390564485e-05,0.0003336190800905481
68,7.05469897886872e-05,0.00034387581797833757,2.5024433286113957e-08,2.11049839207558e-08,7.05720142219733e-05,0.0003438969229622583
69,7.290515628359455e-05,0.0003505727009546535,2.6960258289627545e-08,2.2734162386080234e-08,7.293211654188417e-05,0.00035059543511703955
70,7.387787264913939e-05,0.00035329293432991173,2.7783383075110333e-08,2.3426836030438628e-08,7.39056560322145e-05,0.00035331636116594215
71,7.498390088813572e-05,0.00035635636181584145,2.8736879091355758e-08,2.422917607601625e-08,7.501263776722707e-05,0.00035638059099191746
72,7.622322323688206e-05,0.0003597518236353647,2.9827570012582757e-08,2.514690847378374e-08,7.625305080689464e-05,0.0003597769705438385
73,8.542138220911282e-05,0.00038378400148255277,3.86736709715012e-08,3.2588452985578195e-08,8.546005588008433e-05,0.00038381658993553834
74,8.570059737152839e-05,0.00038448378985775415,3.896347663820665e-08,3.2832194479105156e-08,8.57395608481666e-05,0.00038451662205223324
75,8.637035349558437e-05,0.0003861556267029784,3.966380321415196e-08,3.342119377416164e-08,8.641001729879852e-05,0.0003861890478967526
76,8.789496275032745e-05,0.00038992609218010233,4.128519889552218e-08,3.478478543988416e-08,8.793624794922298e-05,0.0003899608769655422
77,8.918294574161354e-05,0.0003930736544160929,4.268438914956623e-08,3.5961440601466576e-08,8.922563013076311e-05,0.00039310961585669436
78,8.928191371915493e-05,0.00039331409702100757,4.279301748663467e-08,3.605278980908787e-08,8.932470673664157e-05,0.00039335014981081663
79,9.080635608121952e-05,0.0003969924833330662,4.44863593813938e-08,3.747673794804246e-08,9.085084244060092e-05,0.00039702996007101425
80,9.212536425688119e-05,0.0004001373055749992,4.598194296200648e-08,3.873433069363618e-08,9.217134619984319e-05,0.0004001760399056928
81,9.253243777828784e-05,0.00040110085139463366,4.644920851237708e-08,3.912723023100982e-08,9.257888698680022e-05,0.0004011399786248647
82,9.262073595157966e-05,0.00040130942008665424,4.655091737323727e-08,3.92127513391175e-08,9.26672868689529e-05,0.0004013486328379934
83,9.362006595822102e-05,0.0004036592136653216,4.771082846794135e-08,4.0188038074949884e-08,9.366777678668896e-05,0.00040369940170339655
84,9.671983140173598e-05,0.00041082447685207894,5.14114339210444e-08,4.329944080907692e-08,9.677124283565703e-05,0.000410867776292888
85,0.00010033781894058266,0.00041895823101488553,5.592697718116102e-08,4.7095729750533094e-08,0.00010039374591776382,0.0004190053267446361
86,0.00010310174649255995,0.0004250135771123831,5.9525752973996383e-08,5.012102789107158e-08,0.00010316127224553395,0.00042506369814027415
87,0.00010562714334222378,0.00043043224421483495,6.292898035819732e-08,5.298174460162422e-08,0.00010569007232258198,0.0004304852259594366
88,0.00010719303877462457,0.0004337392890563301,6.509390152619722e-08,5.480146968555671e-08,0.00010725813267615077,0.00043379409052601565
89,0.00010858234385549681,0.0004366404621756831,6.704948797267799e-08,5.644518871362601e-08,0.00010864939334346949,0.0004366969073643967
90,0.00011521386502910165,0.00045008264856313785,7.682840300463659e-08,6.466405976205997e-08,0.00011529069343210628,0.0004501473126228999
91,0.00011788410390556473,0.000455316145559179,8.096971752351678e-08,6.814450718905445e-08,0.00011796507362308824,0.0004553842900663681
92,0.00011926339813068101,0.00045798145115539174,8.315379897181922e-08,6.998002449412978e-08,0.00011934655192965282,0.00045805143117988586
93,0.00012946972955571017,0.000476933616360674,1.0029122095735608e-07,8.438181905098802e-08,0.00012957002077666752,0.000477017998179725
94,0.00013017543397232423,0.000478195408945974,1.0154241145196277e-07,8.543323593432916e-08,0.00013027697638377618,0.0004782808421819083
95,0.00013212487255413006,0.0004816507588652888,1.050424911369009e-07,8.83744474280789e-08,0.00013222991504526697,0.00048173913331271684
96,0.00013566683451608758,0.00048782003492224145,1.1156374916351277e-07,9.385438109763372e-08,0.0001357783982652511,0.00048791388930333906
97,0.00013761030584282026,0.0004911485324947808,1.1522891907341068e-07,9.693427816940699e-08,0.00013772553476189368,0.0004912454667729501
98,0.00014476741356485477,0.0005030904017180676,1.2923850827903393e-07,1.087068519968379e-07,0.00014489665207313381,0.0005031991085700645
99,0.00014709147361775387,0.0005068698903575296,1.3395493713345178e-07,1.1267026692828674e-07,0.0001472254285548873,0.0005069825606244579
100,0.0001485507987725878,0.000509220414084672,1.3695692588188993e-07,1.1519300225117088e-07,0.00014868775569846967,0.0005093356070869232
101,0.0001487108457873575,0.0005094771661550808,1.3728803374075802e-07,1.1547125225667019e-07,0.00014884813382109825,0.0005095926374073375
102,0.00015147107847066784,0.0005138740709592546,1.4305588194184254e-07,1.2031839410258184e-07,0.0001516141343526097,0.0005139943893533572
103,0.00015534727118757098,0.0005199386119682271,1.5135855450197591e-07,1.2729586759053692e-07,0.00015549862974207295,0.0005200659078358177
104,0.00015606647961485755,0.0005210491636117384,1.5292662372182068e-07,1.2861366659276432e-07,0.00015621940623857937,0.0005211777772783312
105,0.00015735970676021766,0.0005230350381624382,1.5576752486140235e-07,1.3100116017159124e-07,0.00015751547428507906,0.0005231660393226098
106,0.00016108866851563287,0.0005286854059763124,1.641098048677149e-07,1.3801212043899528e-07,0.00016125277832050057,0.0005288234180967514
107,0.00016817707244200678,0.000539145368417488,1.805606748552284e-07,1.5183828105039825e-07,0.000168357633116862,0.0005392972066985384
108,0.0001771342072467522,0.000551918673636464,2.0238577689214481e-07,1.7018301522703176e-07,0.00017733659302364435,0.000552088856651691
109,0.00018348010075233497,0.0005607232064144104,2.1849282458276586e-07,1.8372318220783127e-07,0.00018369859357691772,0.0005609069295966182
110,0.00019268128787415403,0.0005731794882815562,2.427476600594143e-07,2.0411560667514225e-07,0.00019292403553421345,0.0005733836038882313
111,0.00019286068219571243,0.0005734181105203172,2.432323155467442e-07,2.0452311396217807e-07,0.00019310391451125917,0.0005736226336342794
112,0.0001973072693031319,0.0005792819138043951,2.553909082336002e-07,2.147466531588383e-07,0.0001975626602113655,0.0005794966604575539
113,0.00020285744878121952,0.0005864757570838104,2.709464180200127e-07,2.27827588976264e-07,0.00020312839519923953,0.0005867035846727867
114,0.00020813862310200496,0.0005932088592131384,2.8611838520102346e-07,2.405872857758057e-07,0.000208424741487206,0.0005934494464989141
115,0.0002104241431361336,0.0005960929175315988,2.927910252482225e-07,2.461994346729174e-07,0.00021071693416138183,0.0005963391169662717
116,0.00021258649592904153,0.0005988065286314607,2.9916128623979555e-07,2.515575144387601e-07,0.00021288565721528133,0.0005990580861458994
117,0.00021747765204318902,0.0006048956621016874,3.1376860968652255e-07,2.638448173666412e-07,0.00021779142065287554,0.0006051595069190541
